epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4143.83,1.21388,0.57095,0.90175,0.88477,0.66845,0.76925,0.4238,1.45646,0.70274,0.91773,0.0006468,0.0006468,0.0006468
70,4212.52,1.2156,0.59866,0.9006,0.81597,0.7113,0.77948,0.38456,1.4931,0.73344,0.92086,0.0006269,0.0006269,0.0006269
71,4269.5,1.18781,0.57773,0.90433,0.83218,0.69519,0.7573,0.34193,1.61407,0.77336,0.9302,0.000607,0.000607,0.000607
72,4326.55,1.16999,0.56967,0.89091,0.87169,0.69027,0.78528,0.40454,1.48438,0.73253,0.92049,0.0005871,0.0005871,0.0005871
73,4382.3,1.15698,0.55935,0.89,0.87178,0.70588,0.79111,0.41247,1.46456,0.71118,0.91134,0.0005672,0.0005672,0.0005672
74,4440.62,1.17852,0.56505,0.89608,0.83427,0.72193,0.78243,0.40497,1.44028,0.68634,0.91529,0.0005473,0.0005473,0.0005473
75,4496.69,1.17252,0.55437,0.89891,0.86034,0.72193,0.81073,0.4123,1.45574,0.64337,0.921,0.0005274,0.0005274,0.0005274
76,4554.36,1.20095,0.58453,0.89326,0.91827,0.66093,0.79808,0.42007,1.44992,0.69288,0.91461,0.0005075,0.0005075,0.0005075
77,4614.38,1.15465,0.56024,0.90407,0.85149,0.7052,0.7894,0.41281,1.44486,0.66049,0.9098,0.0004876,0.0004876,0.0004876
78,4673.39,1.17823,0.55035,0.90432,0.87144,0.71658,0.80011,0.42497,1.44077,0.65912,0.90315,0.0004677,0.0004677,0.0004677
79,4743.01,1.16875,0.54671,0.89189,0.87415,0.71658,0.80261,0.44054,1.44862,0.67038,0.91521,0.0004478,0.0004478,0.0004478
80,4816.36,1.12781,0.54704,0.89061,0.88758,0.71658,0.81401,0.44492,1.50326,0.70085,0.92454,0.0004279,0.0004279,0.0004279
81,4881.71,1.14874,0.54532,0.88919,0.84646,0.70755,0.77547,0.39968,1.47934,0.69092,0.9134,0.000408,0.000408,0.000408
82,4941.48,1.14764,0.55162,0.87918,0.83946,0.73262,0.77858,0.41845,1.44534,0.6821,0.91365,0.0003881,0.0003881,0.0003881
83,4996.86,1.16961,0.5385,0.89928,0.86761,0.73262,0.81068,0.39828,1.5559,0.71362,0.93319,0.0003682,0.0003682,0.0003682
84,5053.04,1.14724,0.53895,0.89547,0.88998,0.73539,0.80683,0.42018,1.48693,0.65913,0.91071,0.0003483,0.0003483,0.0003483
85,5109.34,1.14559,0.53806,0.89864,0.84816,0.72727,0.79614,0.40276,1.52923,0.68918,0.93422,0.0003284,0.0003284,0.0003284
86,5164.05,1.11363,0.53317,0.87492,0.84008,0.73042,0.79367,0.39851,1.53956,0.68002,0.92593,0.0003085,0.0003085,0.0003085
87,5223.54,1.1255,0.52038,0.88119,0.9101,0.70053,0.8032,0.43212,1.43797,0.66259,0.91003,0.0002886,0.0002886,0.0002886
88,5283.7,1.10959,0.52625,0.88797,0.88195,0.71915,0.80885,0.43689,1.45318,0.66322,0.91948,0.0002687,0.0002687,0.0002687
89,5339.78,1.14074,0.52541,0.88559,0.89272,0.71202,0.79552,0.43632,1.43588,0.66165,0.91395,0.0002488,0.0002488,0.0002488
90,5395.05,1.12974,0.51761,0.8802,0.89379,0.72193,0.78645,0.37601,1.56194,0.71972,0.93979,0.0002289,0.0002289,0.0002289
91,5456.68,1.05979,0.4906,0.8776,0.89618,0.72193,0.81388,0.44928,1.40819,0.65684,0.91426,0.000209,0.000209,0.000209
92,5520.73,1.0547,0.50239,0.86835,0.8671,0.73271,0.79999,0.42092,1.42889,0.66672,0.91413,0.0001891,0.0001891,0.0001891
93,5579.07,1.01742,0.47485,0.86576,0.89315,0.71522,0.80146,0.43678,1.39871,0.65079,0.90241,0.0001692,0.0001692,0.0001692
94,5635.07,1.025,0.46089,0.86952,0.90974,0.70071,0.79492,0.4161,1.471,0.67758,0.91594,0.0001493,0.0001493,0.0001493
95,5691.1,1.02871,0.46277,0.85002,0.85914,0.71757,0.79918,0.44236,1.38083,0.66027,0.90121,0.0001294,0.0001294,0.0001294
96,5750.24,1.01467,0.4704,0.86562,0.85984,0.72727,0.80725,0.44348,1.3932,0.66006,0.90326,0.0001095,0.0001095,0.0001095
97,5808.63,0.99522,0.45994,0.85422,0.86929,0.72193,0.79014,0.42602,1.42656,0.67634,0.90535,8.96e-05,8.96e-05,8.96e-05
98,5865.02,1.01718,0.45965,0.85823,0.85822,0.73262,0.81481,0.4395,1.40971,0.66607,0.90331,6.97e-05,6.97e-05,6.97e-05
99,5923.99,0.99317,0.4483,0.86868,0.84946,0.74866,0.81378,0.45443,1.38341,0.65814,0.90043,4.98e-05,4.98e-05,4.98e-05
100,5988.97,0.98156,0.43501,0.84825,0.84443,0.75936,0.8179,0.45171,1.38324,0.66215,0.90163,2.99e-05,2.99e-05,2.99e-05
